country,activity,injury,fatal
australia,bathing,"left arm severed above elbow, recovered 5 days afterwards from shark’s gut",n
australia,"examining netted shark, that had been shot",lacerations to right hand provoked incident,n
australia,fishing,toe bitten by netted shark provoked incident,n
australia,bathing in water 09 m deep,"fatal, left leg severed",y
mexico,bathing,"us destroyer john w weeks, 6 miles offshore, demonstrating guns & bombs for mexican officials was thought to have driven the shark into the shallows where it bit the bather before other bathers drove it away with sticks & clubs",n
australia,nan,nan,unknown
australia,lifesaving exhibition,fatal,y
australia,surfing,"no injury, chased by 3 sharks",nan
australia,surf skiing,"no injury, shark bumped ski",n
australia,nan,human hand recovered from 24 m [8'] tiger shark,nan
italy,"fishing, on a boat",no injury to occupant,n
new guinea,nan,fatal,y
papua new guinea,nan,"leg bitten, surgically amputated",n
papua new guinea,nan,hand & shoulder bitten,n
papua new guinea,spearfishing,"fatal, ""nearly bitten in two through loin""",y
papua new guinea,swimming close to wharf,hand severed,n
new guinea,swimming,"fatal one man's abdomen removed, the other received severe multiple injuries",y
australia,swimming,"fatal, disappeared while swimming",y
australia,"treading water, waiting for a wave","fatal, left hand severed, left leg arm bitten, tissue removed hip to knee",y
iran,nan,left thumb severed,n
cuba,"2 messboys jeppsen & tony latona 13 were playing on the afterdeck of the danish ship grete maersk jeppsen fell overboard, latona threw a lifebelt then jumped in to help him ship didn’t notice they were missing","2 hours later shark bit jeppsen’s feet, arm, knee & finally killed him tony, clothing torn but alive, washed ashore on cuban coast",n
australia,fishing,hand injured,n
north pacific ocean,airsea disaster involving c-54 air force transport no 2686 with 37 on board,"32 survived, 5 perished; sharks fed on the dead but did not bite the survivors",y
australia,pearl diving,leg bitten,n
greece,swimming,fatal,y
usa,swimming,leg bitten,n
usa,fishing,survived,n
turkey,swimming,fatal,y
mid atlantic ocean,leicester abandoned in a hurricane,"fatal, 2 men killed by sharks, 20 survived",y
iran,bathing or washing,"fatal, left arm & left buttock severed",y
iran,nan,"fatal, right arm  severely bitten & surgically amputated, died 12 to 14 hours later",y
iran,swimming,"quadriceps lacerated, femur exposed",n
bahamas,spearing a shark,shark that he speared bit his calf     provoked incident,n
usa,swimming,fatal,y
northern mariana islands,swimming,heel bitten,n
iran,"fishing, shark caught in his net","8"" x 4"" left antecubital fossa of muscle & skin removed  provoked incident",n
south africa,"bringing hooked, harpooned shark onboard boat",groenwald's arm lacerated by the shark provoked incident,n
kenya,nan,fatal,y
senegal,nan,fragment of human foot recovered from 300-kg [662-lb] tiger shark,nan
papua new guinea,spearfishing,leg bitten by shark that he had speared  provoked incident,n
usa,"c47 aircraft carrying 5,000 lbs of ice ditched in the sea","fatal womack was injured when plane went down, 3 days later he fell off liferaft & was taken by a shark",y
australia,swimming,"fatal, right thigh & leg bitten",y
australia,surf skiing,"no injury, ski bitten",n
usa,underwater photography,grabbed shark by the tail & it bit him provoked incident,n
new guinea,"fishing, holding fish in right hand",right hand bitten,n
papua new guinea,spearfishing,bitten on face while taking shark off spear provoked incident,n
south africa,fishing,"no injury to occupants, boat holed by shark",n
australia,fishing,leg gashed,n
south africa,nan,"human remains, possibly one of the crew of the wrecked fishing boat john bull found in 277-kg tiger shark",nan
senegal,fishing  diving,"fatal, right thigh bitten",y
australia,fishing,"no injury to occupants, shark made 20 to 30 rushes at dinghy",n
australia,fishing from surf ski,"no injury, ski bumped",n
australia,fishing from surf ski,"no injury, ski bumped",n
australia,swimming,"fatal, leg severed at knee",y
australia,swimming,thighs & knee lacerated,n
australia,nan,fatal,y
australia,fishing in waist-deep water,kneecap removed,n
brazil,swimming,fatal,y
usa,swimming,"fatal, calf bitten, leg surgically amputated",y
usa,fishing,provoked incident,n
australia,diving,suit ripped,n
south africa,swimming,right thigh lacerated,n
greece,jumped overboard,shark involvement  unconfirmed,nan
usa,fishing,"left forearm, arm & leg lacerated",n
australia,fishing,"no injury to occupants, shark bumped & lifted dinghy",n
kenya,swimming,knee grazed,n
south africa,treading water,ankle & shin lacerated,n
south africa,body surfing,"thigh severely lacerated, shin & calf lacerated",n
australia,surfing,"no injury, board scraped by shark",n
pacific ocean,"moving shark from tuna vessel when boat rolled, placing both man & shark in chest-deep water","right arm punctured, finger lacerated provoked incident",n
south africa,wading,"hip abraded, right calf severely lacerated",n
south africa,treading water,lacerations on buttock  &  right foot,n
australia,fishing,"no injury, shark holed boat",n
bahamas,attempting to ride a shark,arm bitten provoked incident,n
brazil,bathing,fatal,y
australia,rowing,"no injury, shark lifted the boat 05 m out of the water",n
south africa,treading water,flexed left leg lacerated,n
australia,swimming near jetty with 2' piece of wood,"forearm & fingers lacerated, teethmarks on wood",n
australia,nan,shark jumped into cockpit,n
australia,pearl diving from lugger,"fatal, right arm severed",y
marshall islands,fishing,fatal,y
australia,swimming,left leg lacerated,n
israel,fishing,laceration to back,n
australia,swimming after a tennis ball,"fatal, body not recovered",y
iran,"fishing, probably with a net",radius & ulna bared,n
iran,swimming,"left achilles tendon severed, calf muscles severely lacerated",n
india,bathing,"""serious injuries""",n
tanzania,swimming,leg bitten,n
australia,swimming,fatal,y
australia,fishing,"no injury to occupants shark charged boat, tore off rudder & tossed it air, then swam off with it",n
australia,fishing,"no injury; shark rammed boat, catapulting leverenz in the sea & damaging boat",n
south africa,treading water,right arm severely lacerated,n
australia,standing,"leg bitten, surgically amputated",n
south africa,swimming,flexed right  knee bitten,n
south africa,treading water,knee & calf lacerated,n
south africa,swimming,foot severely lacerated,n
australia,nan,ankle bitten,n
south africa,jumping in swells,foot bitten,n
australia,swimming,"fatal, left leg severed, right leg injured",y
south africa,body surfing,calf lacerated,n
south africa,nan,"no injury to occupants, shark struck boats+k1581",n
south africa,nan,"shark holed and sank boat, occupants rescued",n
persian gulf,bitten after dhow shipwrecked,"abdomen bitten, but she survived most of the 40 others that survived the wreck, were taken by sharks",n
hong kong,bathing,fatal,y
okinawa,american minesweeper uss yms-472 foundered in a typhoon - swimming to shore,laceration to arm,n
japan,american minesweeper uss yms-350 lost in a typhoon - swimming to shore,fatal,y
iran,swimming,"right forearm injured, mid-humeral amputation",n
iran ,nan,lower left leg amputated,n
usa,nan,fatal,y
philippines,american cruiser indianapolis torpedoed & sunk by the japanese submarine i-58,"about 300  crew perished during the sinking, the remainder abandoned ship many who survived the loss of the ship were taken by sharks in all, only 316 of her crew of 1,196 survived",y
java,"90 european civilians, many women & children, were placed on the deck of a japanese submarine that submerged when it was well offshore",sharks attacked the swimmers the sole survivor lost his arm & foot & died of his injuries shortly after being picked up  by javanese fishermen the incident became known as the cheribon atrocity,y
australia,swimming,fatal,y
usa,swimming,"fatal, large gash to thigh",y
south africa,walking,"right leg bitten knee to foot, surgically amputated",n
israel,swimming,"survived raf pilot, seeing commotion in the water, dived his plane to investigate and scared off shark",n
jamaica,diving,hand severed,n
cuba,"playing on rock, slipped & fell into the water",fatal,y
panama,bathing with her mother,foot bitten,n
iraq,swimming,left foot bitten,n
philippines,swimming near life raft,arm bitten,n
usa,fishing for mackerel,"no injury to occupants after being prodded with an oar, shark struck bow and sank boat provoked incident",n
sierra leone,nan,fatal,y
australia,swimming,probable drowning & scavenging,nan
philippines,"uss gambier bay cve-73  shelled & sunk  at 09h57 on 10241944, by japanes fleet enroute to attack the allied landing force at leyte",when survivors werer rescued on 10271944 by pc 623 there were many sharks in the area,y
philippines,uss hoel dd 533 sunk on 10241944 in the battle off samar 2 crewmen were swimmng alongside a floater net &,"fatal, both were killed by sharks",y
philippines,uss johnston dd 557 sunk on 10241944 in the battle off samara crewmen were swimming beside a raft,"clinton was bitten on his back, 2 others did not survive",y
philippines,parachuted into pacific,"shark grazed leg, leaving toothmarks",n
nan,japanese pow ship arisan maru with 1800 american prisoners of war on board bound for slave labor camps was torpedoed by an american submarine,most of the men drowned & some were taken by sharks only only nine men survived,y
australia,fishing,no injury to occupants; shark bit dinghy leaving tooth fragments in  its woodwork,n
usa,swimming,laceration to right lower leg,n
caribbean sea,fell overboard from us navy pc boat,fatal,y
south africa,swimming,"fatal, body not recovered",y
south africa,swimming,"fatal, body not recovered",y
north pacific ocean,nan,"when picked up by the uss boyd dd 44 on 6231944 his raft was ""surrounded by sharks""",nan
usa,bathing,left calf bitten,n
samoa,nan,minor injury when shark tore off his boot,n
panama,washed overboard by swell,"fatal his back was bitten as he was being towed to ship by rescuer, lieut jg stanley kurta, then the shark pulled him below the surface",y
nicaragua,nan,some killed & others severely injured,y
south africa,treading water,left thigh bitten,n
south africa,standing,"fatal, left thigh & calf bitten",y
south africa,treading water,ankle severely lacerated,n
south africa,treading water,foot & ankle lacerated,n
india,bathing,fatal,y
south africa,body surfing,"fatal, right thigh lacerated, femoral artery severed",y
australia,fishing,"no injury, shark took day's catch & struck boat",n
australia,surfing,"both legs bitten, one surgically amputated",n
south africa,swimming,"fatal, leg bitten knee to ankle & posterior tibial artery severed; died of toxemia 2 days later",y
south pacific ocean,adrift on raft,fatal            arm severed,y
italy,b-24 aircraft crashed  into the sea,fatal,y
new guinea,fell overboard from uss ward,fatal,y
south africa,treading water,"fatal, abdomen, buttock & thigh lacerated",y
usa,the cuban freighter libertad was torpedoed and sunk by the german submarine u-129,"of the 18 crew who survived the sinking, 10 were taken by sharks cabarrocas was bitten but survived",y
south africa,swimming with board,right foot lacerated,n
pacific ocean,the 6711-ton american freighter & troop transport cape san juan was torpedoed by the japanese submarine i-21,"of the 1,429 people on board, only 448 survived sharks were attacking survivors as they were being rescued",y
usa,nan,"hand, forearm, leg and pelvis recovered from 425 m  [14'] shark caught at baker’s haulover, miami beach on 26-oct-1943",nan
panama,dived overboard to check propeller of us navy motor torpedo boat,"fatal, left leg  & shoulder bitten",y
italy,flying fortress bomber aircraft went down after daytime raid on naples he was swimming on the surface,"bitten on arms, hands & feet while awaiting rescue",n
usa,treading water after survivng crash of the us navy airship k-74 that was hit by the german submarine u-134,fatal,y
portugal,fishing for mackerel,no injury to occupants,n
mexico,swimming,"no injury, a shark made a threat display",nan
australia,fishing for cod,"no injury to occupant, shark grabbed rudder and dragged the dinghy stern-first",n
pacific ocean,b-24 crashed during a search mission survivors in raft for 47 days,survived,nan
central pacific,"s2n navy scout plane went down, eh almond & lieut ag reading in water","jaw dislocated & contusions from many blows on legs & body by shark fins, rescued after 14 hours",n
central pacific,"s2n navy scout plane went down, eh almond & lieut ag reading in water","fatal, right leg & left thigh bitten",y
australia,hospital ship centaur torpedoed & sunk by the japanese submarine i-177,fatal,y
indian ocean,ship torpedoed 400 miles off the african coas man was clinging to hatch cover,"leg, foot & arm bitten",n
usa,"small boat swamped, 4  people swimming to shore but he fell behind the other 3 and vanished",on 29-apr-1943 his remains right forearm & swim trunks were found in 49 m [16'] shark’s gut,nan
south africa,swimming,"fatal, thigh lacerated, both calves bitten",y
sierra leone,"the 21,516-ton troopship empress of canada torpedoed and sunk by the italian submarine leonardo da vinci","of the 1346 on board, 392 perished including 90 women & 44 crew 1 person known to have been fatally injured by a shark",y
brazil,the 3540-ton alfonso penna was torpedoed & sunk by the italian submarine barbarigo,"33 crew & 92 passengers were lost, it was thought that some were killed by sharks  fatal",y
papua new guinea,"known as the battle of the bismarck sea :  8 japanese destroyers guarding a convoy of 8 transports were attacked by 129 allied fighters, 207 bombers & 3 squadrons of the royal australian air force","an estimated  3,000 to 7,000 japanese troops perished, some were taken by sharks",y
pacific ocean,the uss wahoo torpedoes & sank the japanese troop transport buyo maru,fatal,y
mexico,swimming,fatal,y
solomon islands,swimming,arm severed,n
iraq,swimming,"right arm severed, left foot bitten",n
usa,spearfishing,calf nipped in each case,n
usa,spearfishing,calf nipped in each case,n
usa,nan,"unprovoked, but circumstances unknown",unknown
australia,dog paddling or standing,"fatal, legs bitten",y
south africa,u-177 torpedoed & sank the troopship nova scotia,"192 survived, but 750 perished many were taken by sharks, including levine",y
south africa,swimming,"calf bitten, leg surgically amputated",n
solomon islands,thrown from destroyer when shell hit,hip bitten,n
indian ocean,"on 6-nov-1942, the german submarine u-68 sank the city of cairo 5 days from cape town, survivors took to lifeboats & rafts on the 15th day, a fireman jumped over the stern & was taken by sharks",fatal,y
solomon islands,"anti-aircraft cruiser uss atlanta cl,-05 travelling in convoy after the battle of midway, encountered a japanese flotilla  battle of guadalcanal &, heavily damaged by gunfire, she was lost off lunga point victim was swimming when bitten","injured by sharks, but managed to swim ashore 65 hours later",n
solomon islands ,explosion & sinking of the uss juneau after being torpedoed by the submarine  i-85,"over a period of a week men in the water died of wounds, thirst & sharks george sullivan, the last of the sullivan brothers, survived for 5 days & then was killed by 3 sharks",y
solomon islands,nan,fatal,y
south africa,swimming,"fatal, body not recovered",y
pacific ocean,in rubber dinghy with captain eddie rickenbacker for 21 days,one man drove a knife through rubberized canvas trying to stab a shark & it injured him with its tail provoked incident,n
nan,"dutch merchant ship zaandam torpedoed  by the u-174 amidships, sank & dozens of survivors took to rafts & boats one man, izzi, who drifted 83 days on a raft related that sharks attacked many men in the water when the ship went down",fatal,y
solomon islands,"his ship, the us destroyer duncan dd 485, had been  sunk by crossfire from japanese warships he was wearing a kapok lifejacket & using 2 aluminum powder tins for floatation","foot, hand, elbow & calf lacerated & abraded, thigh gashed",n
atlantic ocean,the 6015-ton british ship empire avocet was torpedoed by the german submarine u-125,survivors on life rafts were harassed by sharks,n
atlantic ocean,"the pacquebot laconia, enroute to liverpool with 600 italian prisoners onboard, was torpedoed by the german submarine  u-156 and only 2 rafts were launched before the ship went down unable to board an overcrowded raft, he was swimming","calf lacerated he was rescued by german submarine, which sunk rescued by italian submarine, which sunk managed to reach dakar",n
australia,treading water,"right foot severed & calf removed, leg  surgically amputated below the knee",n
southwest pacific ocean,adrift on life raft,"fatal, 2 of the 9 airmen killed by sharks",y
solomon islands,japanese aircraft shot down he was one of two survivors rescued by the us destroyer mugford,lacerations to left arm,n
atlantic ocean,the ss potlach was torpedoed & sunk by the u-153 on 27-jun-1942,fatal arm bitten,y
italy,sculling,"after he hit the shark with an oar, the shark bit the oar and overturned the boat  provoked incident",n
bay of bengal,a 210-ton brig was sunk by a japanese submarine some of the survivors were machine-gunned & some were taken by sharks,fatal,y
brazil,boat capsized during filming,"remains  recovered from 440-lb shark, but cause of death was probably drowning",nan
usa,"plane crashed in water, men in life raft",survived,n
nan,on life raft tethered to lifeboat a seaman put hand over side to rinse a cup,forearm lacerated,n
australia,diving from lugger,"hands, arms & knee lacerated",n
indian ocean,hms cornwall & hmsdorsetshire sunk by japanese dive bombers officers & men in the water formed a circle with 60 of their dead in the center for 36 hours,sharks were numerous & took corpses but made no attempts to harm the survivors,nan
cuba,esso bolivar was torpedoed & shelled by the german submarine u-126,"of her crew of 50, eight perished, including the two injured men",y
australia,nan,"cause of death was drowning, shark bites were post mortem",nan
australia,nan,paddle of surf ski bitten by shark,n
australia,swimming,"fatal, bitten in two",y
australia,surf-skiing,attempted to frighten shark by smacking water with paddle shark bit paddle  no injury to surf-skier provoked incident,n
indonesia,captured allied soldiers were squeezed into 3' bamboo pig baskets & fed to waiting sharks,"general imamura, commander in chief of japanese forces in java was sentenced to 10 years imprisonment by australian military court for his role in the ""pig basket atrocities""",y
australia,fishing for perch,"no injury to occupants, rudder damaged by shark",n
philippines,"sailing from gingood, misamis oriental to sagay normally a 2-day voyage capsized with 6 on board, three men were taken by sharks when they attempted to swim to shore",fatal,y
south africa,nan,"no injury to occupants, boat rammed by shark",n
south africa,nan,no injury,n
bahamas,swimming along side nel vessel saluda,"minor injury, ankle scratched by shark's teeth",n
nan,jumped overboard from torpedoed panamanian freighter,fatal,y
mid-pacifc ocean,"plane forced down, 3 men on rubber life raft put hand over side to feel drift of boat","fingers badly lacerated, wounds became septic",n
southwest pacific ocean,ditched plane in the sea & were adrift on a rubber life raft,"no injury to occupants, they fought off sharks & killed one with an automatic rescued 34 days later",n
nan,"days before the surrender of singapore, the 3 men escaped to sumatra where they acquired a 17' dinghy after 125 days at sea they drifted back to sumatra","no injury to occupants sharks continually followed the dinghy, and one smashed its rudder",n
panama,swimming,"fatal, body not recovered",y
south atlantic ocean,torpedoed & burning british  light cruiser with a crew of 450 men,"only 170 survived, many of the crew were said to have been taken by sharks",y
australia,swimming,right ankle bitten,n
south atlantic ocean,hmas parramatta torpedoed & sunk by the u-559,right hand severed,n
south atlantic ocean,hmas parramatta torpedoed & sunk by the u-559,lacerations to chest,n
south atlantic ocean,british cruiser dunedin torpedoed & sunk by the u-124,"418 perished, only 67 survived, some of the men were taken by sharks",y
australia,german raider kormoran was sunk in an engagement with hmas sydney,leg bitten,n
caribbean sea,ss ethel skakel foundered in central america hurricane of 1941,leg lacerated fatal,y
usa,fishing,laceration to left forearm from hooked shark provoked incident,n
australia,swimming,shark involvement prior to death unconfirmed,nan
usa,swimming at edge of channel,chest lacerated,n
usa,fishing for tuna,"no injury to occupants, shark leapt into boat & bit cabin door",n
usa,fishing,arm bitten while removing shark from fishing line provoked incident,n
usa,fishing from 32' boat,left hand bitten as he tried to put rope around shark's tail provoked incident,n
pacific ocean,"ditched aircraft, 3 men in the water swam for 31 hours","1 man survived & was rescued, sharks took the corpses of the two men that perished",y
south atlantic ocean,the troopship britannia was sunk by the german raider thor,dr ar hernandez of ship cabo hornos treated passenger whose leg was severed by a shark,n
usa,fishing,right hand bitten by boated shark provoked incident,n
australia,fishing,hand lacerated by hooked shark provoked incident,n
jamaica,seine netting,"left knee, calf & heel bitten by shark trapped in the net provoked incident",n
south atlantic ocean,rescuing seaman after ship sunk by german raider,clothing torn by sharks,n
atlantic ocean,adrift on raft after their ship was sunk by an axis raider,fatal,y
solomon islands,floating,buttock bitten,n
iran,standing,fatal,y
iran,nan,fatal,y
iran,nan,"survived, but suffered a “forequarter amputation”",n
iran,slipped off rocks and fell into the water,"fatal, both arms bitten",y
iran,standing,fatal,y
papua new guinea,nan,"foot severely bitten, surgically amputated",n
australia,standing on sandbank,"fatal, injuries to lower back",y
south africa,swimming,"fatal, multiple injuries to legs & buttocks",y
australia,fishing,minor injury to leg,n
australia,collecting fish in military trap when bitten by captured shark that had been shot by soldiers with garten,leg severely lacerated provoked incident,n
panama,bathing,fatal,y
usa,standing,ankle bitten,n
usa,standing,struck by shark immediately before it bit tanner see below,n
usa,fishing,thigh lacerated,n
south africa,treading water,"fatal, right thigh & calf bitten",y
australia,free diving for lobster,minor injuries to foot,n
south africa,swimming,"fatal, left thigh & knee bitten",y
australia,canoeing,"no injury shark grazed canoe, snapped at a piece of mast being trailed in the water & followed it into 2' of water",n
australia,wading,"fatal, injuries to both arms",y
australia,dived into the water,shoulder nipped,n
australia,swimming,"fatal, left leg severed",y
australia,swimming,chest lacerated,n
south africa,swimming,"fatal, leg & thigh bitten",y
australia,diving for trochus,thigh  lacerated,n
slovenia,boating,"no inury to occupants, shark struck boat",n
new guinea,nan,fatal,y
papua new guinea,male,hand bitten,n
south africa,swimming,no details,nan
south africa,nan,fatal,nan
south africa,standing in water with child in her arms,leg bitten,nan
australia,swimming,abrasion above knee,nan
australia,swimming,"fatal, left foot & right leg bitten, later surgically amputated",y
australia,nan,no injury,n
australia,nan,boat bitten by gaffed shark provoked incident,n
australia,nan,no details,unknown
australia,nan,no details,unknown
samoa,fishing,fatal,y
australia,"free diving for trochus shell, swimming to dinghy","both thighs were lacerated, recovered at thursday island hospital",n
usa,spearfishing & had just speared a ulua,hand bitten,n
australia,pearl diving,"leg severely bitten, surgically amputated",n
usa,fishing,harpooned shark bit his arm provoked incident,n
pacific ocean,japanese freighter bokuyo maru burned & sank,thought to have been taken by a shark,y
bahamas,"dress diving, filming shark & pulling it through the water for a motion picture scene",minor injury to shoulder & back provoked incident,n
usa,seine netting,leg bitten by snared shark provoked incident,n
usa,washed off freighter huncliff by a freak wave,"fatal, attacked by shark, body not recovered",y
papua new guinea,dived for a coin,fatal,y
papua new guinea,dived for a coin,"fatal, leg severed just below hip",y
india,bathingswimming,fatal,y
new zealand,fishing,lacerations to left hand from hooked shark provoked incident,n
australia,scooping prawns,no injury,n
sri lanka,she was on a ship that was torpedoes & was in the water awaiting rescue,leg severely bitten,n
bahamas,fishing,"no injury to occupant, shark rammed bow of boat",n
venezuela,bathing,fatal,y
curacao,diving,"no injury, left hip bumped by shark",n
papua new guinea,swimming to anchored boat,"fatal, lower abdomen bitten",y
australia,swimming,"fatal, thought to have been taken by a shark",y
australia,fishing,laceration to left foot & ankle by netted shark provoked incident,n
china,swimming alongside warship   tsingt-ao,"fatal, leg severed",y
usa,fishing,lacerations to hand by hooked shark provoked incident,n
usa,swimming,foot & ankle lacerated,n
turkey,fishing,injured by harpooned shark provoked incident,n
usa,"fishing, removing gaff from shark's mouth",leg bitten by gaffed shark provoked incident,n
australia,"hardhat diving from japanese pearling lugger, reiyo maru","fatal, dragged out of diving helmet",y
nicaragua,"the schooner elizabeth, bound from bluefields, nicaragua to the river port of san carlos foundered","fatal x 2, all other passengers & crew reached shore after a long swim",y
australia,hardhat diving,"no injury, the shark knocked him off his feet",n
costa rica,fishing,"fatal, pulled overboard by tuna, & bitten by shark",y
iraq,"swimming, naked","arm severed, but survived note: some weeks later he was swimming at the same spot when a shark severed his right foot",n
india,bathing,"2 survived,       1 fatal",y
fiji,wading,unknown,n
australia,canoe capsized by shark,"leg severed, but survived",n
australia,fishing,thumb bitten by landed shark provoked incident,n
south africa,"watching seine netters with friends, one of whom picked up a netted shark",leg bitten provoked incident,n
australia,diving off jetty,superficial lacerations on feet & toes,nan
australia,surf skiing,"no injury, ski bumped & he was thrown in the water ski had indentations",n
egypt,sponge diving,fatal,y
trinidad & tobago,body surfing,left hand and arm bitten,n
usa,fishing,"no injury, boat towed by harpooned shark, provoked incident",n
australia,diving,leg severed above knee,n
south africa,swimming,"""mauled""",n
usa,"tzenny chandris, a greek freighter laden with scrap iron, foundered in heavy weather",fatal,y
australia,diving for trochus,fatal,y
solomon islands,"two canoes with 14 aboard blown to sea in a storm while adrift for 3 week, one person fell overboard and was killed by a shark",fatal,y
australia,swimming,fatal,y
australia,swimming,fatal,y
australia,swimming near jetty,tooth imprints on torso,n
australia,surf skiing,"no injury, repulsed shark",n
croatia,fishing,injured by shark they were trying to catch provoked incident,n
scotland,pleasure boating,"no injury to occupants, two 5-foot observation windows shattered",n
scotland,fishing,"no injury to occupants, propeller shaft damaged",n
scotland,rowing,3 people drowned when the boat was capsized by the shark,n
australia,"diving from the lugger san, operated by the protector of the aborigines","head, neck & shoulder bitten in 1918, he was also bitten by a shark off cairns",n
turkey,swimming,"no injury, no attack",nan
panama,swimming,fatal,y
australia,pearl diving,fatal,y
italy,nan,no injury,nan
greece,nan,fatal,y
australia,"fishing from launch, fell into net with shark",bitten by netted shark provoked incident,n
usa,swimming,fatal,y
usa,fishing,leg nipped by hooked shark provoked incident,n
australia,"refused permission to cross on the ferry, he was swimming across the river","fatal, left arm severed at elbow, right arm bitten, right leg severed at knee",y
australia,bathing,his body was recovered 2 days later but shark involvement prior to death was not confirmed,nan
australia,swimming,shark involvement prior to death was not confirmed,nan
australia,swimming,"fatal, buttocks, ankle & right elbow bitten",y
australia,swimming ashore after launch capsized,foot bitten,n
australia,fishing,"no injury to occupants, launch holed",n
australia,fishing,left shoulder bitten by netted shark provoked incident,n
australia,12 of the penang's crew were returning to the ship when their 12' dinghy capsized,"15' shark seen with the man's body in its mouth, but shark involvement prior to death was not confirmed",nan
australia,holding shark's tail,bitten on forearm provoked incident,n
australia,nan,survived,n
usa,"diving, attempting to retrieve body of drowning victim wedged between rocks",thigh lacerated,n
australia,sculling,"no injury to occupant shark damaged scull, tooth fragments recovered",n
australia,fishing for the shark that killed george lundberg,hooked shark bit rudder provoked incident,n
australia,swimming,"fatal, leg severed at knee",y
australia,fishing,"fatal, his 24 m dinghy was found with 2' x 3' hole in its side & tooth fragments embedded in the planking",y
australia,spearfishing,speared shark bit his hand provoked incident,n
vietnam,wreck of a sampam,fatal,y
usa,swimming,leg lacerated,n
australia,"trochus diving, but floating on surface",flexed right leg bitten,n
iceland,swept overboard,"bond's foot was injured, kinch's back was injured",n
canada,fishing for cod,"no injury to occupants, hooked shark leapt onboard boat provoked incident",n
australia,pearl diving,torso bitten,n
usa,fishing,shark rammed boat; no injury to occupants,n
usa,swimming crawl stroke,"fatal, finger severed, thigh bitten he died during the surgical amputation of his leg",y
usa,fishing for bluefish,"no injury to occupants, shark leapt onboard boat",n
australia,diving,survived admitted to thursday island hospital,n
south africa,"fishing, catching snoek, thyrsites atun","shark leapt onboard & into fishwell, tossing a crew member, pepino, in the sea",n
australia,"diving for trochus , but swimming on surface",fatal,y
usa,swimming,fatal,y
australia,diving for trochus,"arm & back bitten, heel lacerated",n
australia,diving,arm severed,n
usa,fishing,no injury his hand entangled in line of hooked shark he was pulled overboard & towed 150' provoked incident,n
australia,among 31 survivors of crew from the sampan fukulya maru which reached thursday island in rowing boat was a man whose arm had been bitten off by shark the sampan wrecked west of mcarthur island,survived,n
australia,diving for trochus,right forearm lacerated,n
australia,rowing,"no injury to occupants, shark almost wrenched oar from aborigine",n
australia,touching the mouth of a supposedly dead shark,finger bitten provoked incident,n
australia,sculling,"no injury, scull sank",n
australia,swimming,"fatal, taken by shark, body not recovered twenty months later, in october 1937, meshing setting anti-shark gill nets began  at metropolitan beaches",y
australia,"swimming passer-by, len bedford, heard him shriek , saw shark leap from the water & swimmer disappeared",fatal,y
australia,surfing,disappeared & his torn clothing washed ashore,nan
australia,paddleskiing,"he tried to hit shark with paddle, shark bumped  ski  provoked incident",n
australia,swimming,fatal,y
australia,cruising,"harpooned shark stove in bow 20"" x 10"" hole, boat sank provoked incident",n
australia,diving,back & arm gashed but survived,n
usa,swimming,"fatal, thigh bitten",y
papua new guinea,swimming,fatal,y
australia,"fell overboard, hanging onto lifebuoy","fatal his body was not recovered, but about 3 weeks later 2 sharks were caught with human remains, thought to be those of quinn",y
united kingdom,fishing,"the hooked shark didn't cut his finger, he was injured by his line",nan
australia,diving for beche-de-mer from lugger,"fatal, right buttock & thigh bitten",y
usa,fishing boat exploded & sank,"although listed as an uprovoked fatal attack by saf, shark bite on his ankle was post-mortem following death by drowning",nan
usa,fishing boat exploded & sank,"although listed as  an uprovoked fatal attack by saf, he was killed by the explosion the shark bites were post-mortem",nan
panama,"fishing with dynamite, afterwards in water retrieving catch","fatal, leg severed",y
croatia,swimming,fatal,y
usa,"fishing for bluefish, shark leapt into dory",arm lacerated by a shark that leapt onto boat,n
solomon islands,fishing,fatal,y
australia,nan,shark bumped dinghy twice,n
papua new guinea,nan,"samoan missionary, filemani, caught an 8'6"" shark after it had killed 1 man & 2 boys in space of few weeks",n
south africa,put foot inside a landed & supposedly dead shark,"foot bitten, required 1 week hospitalization provoked incident",n
australia,pearl diving,3 gashes on hand & wrist,n
australia,"disappeared 11 days earlier, probable homicide victim",captive tiger shark regurgitated his arm in the coogee aquarium,nan
nan,diving,laceration to left leg,n
usa,nan,laceration to hand,n
australia,diving from dinghy for trochus shell,buttocks injured by fin or a bump,n
south africa,put foot inside mouth of supposedly dead shark,injury to foot    provoked incident,n
australia,"pearl diving, but standing in the water",left thigh abraded & 3 fingers lacerated,n
australia,hauling in net with shark in it,calf & shin bitten  provoked incident,n
australia,surfing,abrasions to shins,n
australia,swimming,"fatal, left thigh, buttock, left forearm bitten, finger removed",y
australia,standing,"fatal, thigh bitten",y
australia,surfing pneumatic surfboard,"thigh lacerated, abrasions",n
australia,fishing,"no injury, sleeve ripped",n
australia,fishing for sharks,no injury to occupants,n
israel,nan,human remains washed ahore,nan
australia,nan,no injury; onlookers saw 10' shark heading for him and lifted him ashore,nan
australia,splashing,hands severed,n
australia,swimming lead swimmer in race,"fatal, left leg bitten",y
australia,taken as he dived into the water,fatal,y
australia,swimming & splashing,leg injured,n
australia,bathing,fatal,y
bermuda,fishing,arm bitten by hooked shark provoked incident,n
