country,activity,injury,fatal
usa,diving,lower leg bitten,n
australia,sightseeing,"no injury to occupants, injury to shark attempting to swallow anchor",nan
french polynesia,swimming,leg bitten,n
usa,swimming,fatal,y
usa,spearfishing,lacerations to legs,n
usa,standing,foot bitten,n
usa,treading water,left calf & foot bitten,n
usa,wading,right leg bitten,n
australia,fishing,"lacerations to arm, head & chest",n
usa,wading,severe bite to right foot,n
australia,snorkeling,injury to lower left leg and ankle,n
australia,surfing,fatal,y
usa,surfing,minor injury to right foot,n
australia,spearfishing,fatal,y
usa,playing,cuts to lower leg,n
usa,body surfing,injury to thigh,n
bahamas,nan,nan,n
south africa,surf skiing,"no inury, ski damaged",n
new caledonia,windsurfing,fatal,y
australia,surfing,fatal,y
australia,nan,nan,nan
usa,skimboarding,puncture wounds to leg,n
usa,surfing,cut to index finger of hand,n
bahamas,spearfishing,lacerations to left hand,n
australia,spearfishing,"no injury, swim fin bitten",n
thailand,playing,left foot bitten,n
spain,playing,lacerations to both feet,n
french polynesia,snorkeling,leg bitten,n
usa,surfing,fatal,y
australia,surfing,leg injured,n
usa,swimming,2 lacerations to foot,n
usa,body boarding,minor injury to ankle from stingray,n
australia,swimming,lacerations to foot,n
usa,surfing,foot bitten,n
australia,swimming,fatal,y
australia,surfing,right hand bitten,n
usa,stand-up paddleboarding,"no injury, paddleboard bitten",n
usa,surfing,left foot bitten,n
usa,surfing,left foot bitten when he jumped on the shark  provoked incident,n
australia,nan,arm injured,n
new zealand,kayak fishing,"provoked incident no injury, shark nudged kayak repeatedly",n
fiji,spearfishing,lacerations to right elbow,n
new zealand,surfing,"minor injury, surfboard bitten",n
usa,stand-up paddle boarding,"no injury, but paddleboard bitten",n
french polynesia,canoeing,"no injury, but canoe was scratched",n
bahamas,floating,provoked incident  scratches to left wrist,n
australia,surfing,laceration ot left ankle and foot,n
new zealand,surfing,minor injury to lower leg,n
usa,surfing,lacerations to foot,n
thailand,swimming,calf bitten,n
australia,swimming,lacerations to leg,n
australia,scuba diving,fatal,y
new caledonia,nan,right leg bitten,n
australia,swimming after being swept off rocks,probable drowning and scavenging,y
australia,swimming,minor injury to hand,n
seychelles,swimming,arm bitten,n
papua new guinea,spearfishing,fatal,y
south africa,surf skiing,"no injury, shark bit surf ski",n
new zealand,boogie boarding,laceration to thigh,n
usa,surfing,right leg bitten,n
australia,fishing,provoked incident,nan
reunion island,kayaking,partial remains recovered 12262019 from shark,f
australia,free diving,arm bitten,n
cuba,swimming,fatal,y
usa,stand-up paddleboarding,"no injury, inflatable paddle board was bitten by the shark",n
usa,surfing,"no injury, knocked from his board by the shark",n
australia,snorkeling,lacerations to foot,n
australia,spearfishing,"believed to have drowned partial remains washed ashore at north beach, mylestom, new south wales on 17 december shark involvement prior to death could not be confirmed",f
mexico,fishing,lacerations to arm from hooked shark provoked incident,n
israel,snorkeling,"no injury, swim fin bitten",n
french polynesia,feeding sharks,multiple lacerations to right arm,n
usa,surfing,lacerations to left foot,n
mexico,snorkeling,bite to right forearm,n
south africa,kayaking fishing,"no injury, kayak damaged",n
usa,surfing,"no inury, knocked from board",n
reunion island,snorkeling,hand recovered from shark later confirmed death most likely due to drowning,y
australia,snorkeling,raddon’s right foot was severed and maggs sustained serious lacerations to his lower right leg,n
usa,surfing,minor cuts when he jumped off his board and landed on the shark provoked incident,n
usa,kayak fishing,"no injury, kayak bitten",n
french polynesia,snorkeling,severe injuries to arms and chest,nan
australia,surfing,"no injury, surfboard bitten",n
usa,surfing,lacerations to right foot,n
australia,surfing,"no injury, surfboard severely damaged",n
usa,kayaking,"no injury, shark bit kayak",n
usa,surfing,minor injury to left thigh,n
australia,fishing,hooked shark bit his leg provoked incident,n
usa,surfing,"no injury, back of board bitten",n
usa,swimming,laceration to arm,n
usa,surfing,lacerations to left foot,n
usa,snorkeling,minor injuries,n
usa,nan,foot bitten,n
australia,spearfishing,"no injury, shark bit swim fin",n
usa,spearfishing,bite to posterior left knee,n
usa,nan,thigh injured,n
usa,surfing,hand and calf bitten when he jumped off surfboard and landed on the shark provoked incident,n
usa,wading,foot bitten,n
usa,swimming treading water,injury to lower back and right hip,n
fiji,spearfishing,right arm bitten,n
usa,wading,puncture marks to lower leg,n
usa,surfing,"no injury, board damaged",n
usa,standing,minor injuries to right foot,n
usa,surfing,minor cuts to right foot,n
usa,surfing,bite to left hand and wrist,n
usa,spearfishing  diving,laceration to left arm and hands,n
usa,swimming,bite to abdomen & left leg medial thigh,n
usa,fishing,arc of punctures to lower right leg by hooked shark provoked incident,n
usa,surfing,3 lacerations to left hand,n
australia,snorkeling,lacerations to lower leg,nan
usa,boogie boarding,lacerations to right thigh,n
usa,surfing,puncture wounds around left elbow,n
usa,surfing,foot bitten,n
usa,diving,unknown  unconfirmed,nan
new zealand,scuba diving,shark rammed him but no injury,n
usa,body-surfing,ankle bitten,n
usa,boogie boarding,foot bitten,n
south africa,surfing,leg injured,n
australia,paddle boarding,puncture wounds to wrist,n
mexico,fishing,leg injured,n
bahamas,snorkeling,unknown,n
usa,surfing,minor injury to foot,n
bahamas,snorkeling,fatal,y
bahamas,spearfishing,lacerations to left calf,n
usa,swimming,puncture wounds to leg,n
bahamas,snorkeling,injuries to left lower leg,nan
usa,swimming,arc of lacerations to bicep,n
usa,surfing,cuts to right foot,n
australia,abalone diving,bumped by shark but no injury,n
australia,surfing,injury to wrist,n
usa,standing,severe injuries to leg and hand,n
new caledonia,fishing,fatal,y
usa,swimming,fatal,y
new caledonia,swimming,leg severed,n
usa,body boarding,no injury,n
fiji,scuba diving,laceration to head and shark bit diver's tank,n
usa,surfing,"no injury, knocked of board by shark",n
australia,body surfing,laceration to right ankle,n
reunion island,surfing,fatal,y
usa,swimming with sharks,injuries to left arm and hand,n
usa,surfing,"no injury, shark severed surfboard leash",n
brazil,fishing,cut to toe from hooked shark provoked incident,n
usa,fishing,injury to leg,n
australia,spearfishing,3 puncture marks to left forearm,n
usa,kayaking,injury to right inner thigh,n
usa,nan,minor injury to leg,n
usa,boogie boarding,"minor lacerations to left knee, left hand and right thigh",n
usa,picking opihi,"probable death by drowning, body scavenged by shark",n
usa,swimming,bitten on left shoulder,n
china,diving in shark tank,"lacerations to face, chin and scalp",n
usa,paddling an outrigger canoe,"shark bit canoe, but injury to occupant may not have been caused by the shark",n
australia,swimming,puncture marks to left hip and buttocks,n
usa,surfing,lacerations to foot,n
mexico,swimming,20 cm gash to right leg,n
usa,swimming,bite to abdomen,n
usa,boogie boarding,lacerations to right foot,n
usa,surfing,"no injury, board bitten and dented",n
south africa,fishing,lacerations to arm from shark caught in trawl net  provoked incident,n
usa,surfing,"no injury, shark bumped leg",n
australia,surfing,lacerationspuncture marks to thigh,n
brazil,surfing,minor injury to face,n
australia,spearfishing,right forearm bitten,n
usa,surfing,multiple lacerations to leg,n
australia,surfing,"no injury, surfboard bitten",n
south africa,fishing,"no  injury to occupants, shark bit pontoon causing it to deflate",n
usa,spearfishing,right wrist and hand injured,n
reunion island,fishing,fatal,y
new zealand,boogie boarding,gash to thigh,n
australia,swimming,minor injury to left foot,n
australia,wading,injuries to foot & leg,n
usa,surfing,cuts to both lower legs,n
mexico,diving,fatal,y
australia,nan,bitten on foot when he stepped on the shark  provoked incident,n
new zealand,spearfishing,injuries to leg and hand,n
new zealand,spearfishing,no injury,n
australia,surfing,five deep lacerations to lower right leg,n
australia,surfing,cut to left foot,n
usa,surfing,lacerations to left foot,n
australia,spearfishing,severe lacerations to left arm and right leg,n
australia,surfing,injuries to calf and hand,n
australia,kayaking,"no injury to occupant, kayak bitten",n
